,children_under_5_total__number_of_children_under_5,stunting_prevalence_under5_pct,anemia_prevalence_under5_pct,vaccination_measles_first_dose_mcv1,vaccination_hepatitis_b_hepb3,vaccination_diphtheria_tetanus_pertussis_dtp3,vaccination_polio_pol3,vaccination_h_influenzae_type_b_hib3,child_mortality_deaths_per_100_live_births,low_birthweight_pct,stillbirths_per_100_births,gdp_constant_2015_usd,gdp_per_capita_ppp_constant_2021_intl_usd,human_development_index,sex_ratio_at_birth_males_per_100_females,malaria_incidence_rate,malaria_prevalence_rate,under5_mortality_rate,acute_hepatitis_b_incidence_rate,acute_hepatitis_c_incidence_rate,diarrheal_diseases_incidence_rate,neonatal_encephalopathy_due_to_birth_asphyxia_and_trauma_incidence_rate,neonatal_preterm_birth_incidence_rate,neonatal_sepsis_and_other_neonatal_infections_incidence_rate,nutritional_deficiencies_incidence_rate,temp_mean_c,temp_max_c,temp_min_c,rel_humidity_pct,rain_mm_year,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,mortality_under5_malaria
children_under_5_total__number_of_children_under_5,1.0,0.17999013784634987,0.02483427095831737,-0.20189752949931472,-0.16076580079575858,-0.2087659852453588,-0.1799226099992036,-0.15911556177976152,0.07451569888206241,-0.01706846088491885,0.1369710616364915,0.7049039484071455,-0.051034140103931425,-0.021597759183980856,0.0911506555464781,0.12042712205032806,0.12215233846714765,0.07393499142137704,0.20931840815969008,0.15535589314685466,0.019799962328346705,0.08949261993915136,-0.05847856493811517,-0.08898316442254163,0.03897985819575922,0.02490070550625003,0.0836977325207948,-0.029591204981764218,-0.08198718567483368,-0.026208796158086252,-0.12471167369316302,-0.07941938123147285,-0.020963082736643407,-0.03085647933927158,0.15326868230696145
stunting_prevalence_under5_pct,0.17999013784634987,1.0,0.36504184489217345,-0.30428336801798034,-0.32713089766936126,-0.32663156941571003,-0.3077077219155376,-0.3244049347398002,0.5529396482945882,0.2810282353796042,0.4975227252611377,-0.19432275648144898,-0.5133400763907032,-0.6910799476530891,-0.402422874426419,0.3969548822964081,0.39030191501677175,0.6242011847155278,0.29328245188928176,0.4453082644339024,0.573008998213257,0.6966371983465401,0.26495283512812434,0.42234864823319684,0.440815243918087,-0.008002223556910396,-0.031390270374376465,-0.011599865209015578,0.06144828145581257,0.1780155038636983,-0.17298571782473132,-0.6945085053301759,-0.5848319947817846,-0.5807148861497244,0.46850694447504626
anemia_prevalence_under5_pct,0.02483427095831737,0.36504184489217345,1.0,-0.5488103861854736,-0.5044443024265032,-0.5289562054523509,-0.5334255311739933,-0.5193790365226254,0.6862841573910177,0.47763260188760154,0.5648295201447591,-0.2915438947511134,-0.40448821789926026,-0.683381183014382,-0.2574351941098643,0.7673570844452996,0.7489089809628917,0.7122213080234657,0.5003693212843464,0.6507986060601147,0.5235134543399472,0.4791075213094964,0.5052298269942754,0.06245892167158333,0.5969129901243677,0.6043791769739498,0.23075784850383713,0.5932984518119154,0.17817952078165833,0.414427078351951,-0.4569818872836336,-0.7228134669556662,-0.6643029500358074,-0.6894104669330755,0.7144286641449262
vaccination_measles_first_dose_mcv1,-0.20189752949931472,-0.30428336801798034,-0.5488103861854736,1.0,0.87451857960443,0.9452664793445457,0.9199188853292348,0.867615101739732,-0.6491224451330134,-0.40676466320105736,-0.6178824598236624,0.02411480504864881,0.08908905240412941,0.48620145851980434,0.051810413945143435,-0.4240132217936991,-0.4146533512833942,-0.6158466257999875,-0.7186918314534445,-0.31562846693133717,-0.5037027078266317,-0.42018628121301754,-0.29058977160993155,-0.16386211500371464,-0.47377970289696275,-0.3566625565351219,-0.15976074150967307,-0.3278849056087098,-0.059984825792187446,-0.24069440633475908,0.4804733352589517,0.549297403998759,0.3972549870758106,0.643995675562332,-0.40473436356929493
vaccination_hepatitis_b_hepb3,-0.16076580079575858,-0.32713089766936126,-0.5044443024265032,0.87451857960443,1.0,0.9093816072821845,0.8863510871109351,0.9574199084417936,-0.6536963361319447,-0.37374086279688823,-0.6172845195470572,0.040335688277761385,0.10239365173116054,0.4836567740475438,0.05157945545251163,-0.4180760707198531,-0.40200551078340474,-0.6177212057853947,-0.7910649764642361,-0.3097890957015558,-0.5588899891830662,-0.40590765878496016,-0.25706932637399027,-0.20679171265287183,-0.4990447702459879,-0.3003648850311408,-0.10366492240738075,-0.3009164793105835,-0.07236451807439159,-0.17021051189173333,0.47405846762343656,0.5532291834052048,0.391977179596123,0.642030365774515,-0.3897867450435732
vaccination_diphtheria_tetanus_pertussis_dtp3,-0.2087659852453588,-0.32663156941571003,-0.5289562054523509,0.9452664793445457,0.9093816072821845,1.0,0.9664040826479651,0.9008995702990564,-0.6962650719241117,-0.3956908550409233,-0.6392174355550798,0.01332804940031471,0.08392116145607234,0.5038409950960139,0.04284129976202458,-0.4252629236862011,-0.41913124333392676,-0.6490206477602047,-0.7454477569906651,-0.3303339070202352,-0.5303670056581516,-0.44029939936666423,-0.2915112558348384,-0.1787503724938722,-0.48289838217700265,-0.345217351559957,-0.17800101892876777,-0.30940149308371856,-0.03652746449586162,-0.19946622804211478,0.5229491335714287,0.5622432803170462,0.3826931913200268,0.6645440137021014,-0.41837930598422435
vaccination_polio_pol3,-0.1799226099992036,-0.3077077219155376,-0.5334255311739933,0.9199188853292348,0.8863510871109351,0.9664040826479651,1.0,0.8734163079038233,-0.6792251195820752,-0.3797781675520267,-0.5966203545358304,0.015168219512658756,0.08406397237971706,0.4819030678448325,0.09930591163008336,-0.4370862445922285,-0.43033414822652016,-0.6295768012531471,-0.73386892118561,-0.33993248235593826,-0.5200441405329003,-0.4214554415966965,-0.27760944483163,-0.16412258344823302,-0.4796025387630069,-0.3344466277464097,-0.17107284679011275,-0.3009057464410221,-0.050387180266504884,-0.21537653024527992,0.49402647845621955,0.5534852544880381,0.3876928159361857,0.6477177465049547,-0.42339137288569156
vaccination_h_influenzae_type_b_hib3,-0.15911556177976152,-0.3244049347398002,-0.5193790365226254,0.867615101739732,0.9574199084417936,0.9008995702990564,0.8734163079038233,1.0,-0.6668405370672246,-0.4023841787908585,-0.6212275232703678,0.040672947252070685,0.10540216234234719,0.4944846685186713,0.005416763443151373,-0.4264215730529333,-0.41632648168624825,-0.6418905674123466,-0.7755456812096388,-0.3013127421090724,-0.5779748337958769,-0.4101434312175186,-0.2906458210412424,-0.20688602820901011,-0.5094669664101752,-0.3244771424908851,-0.13845509264328823,-0.30943630498500024,-0.03660549001760175,-0.1382295953049755,0.5093231774369483,0.557420892623865,0.37290719055728433,0.65842397247692,-0.4228665605982222
child_mortality_deaths_per_100_live_births,0.07451569888206241,0.5529396482945882,0.6862841573910177,-0.6491224451330134,-0.6536963361319447,-0.6962650719241117,-0.6792251195820752,-0.6668405370672246,1.0,0.4077165366465481,0.7208474131109636,-0.17763747591525525,-0.3710515189013808,-0.7980283102958184,-0.22823384244482553,0.6164684005454336,0.6141374824580184,0.914628912003436,0.6164887405210568,0.46120196389436346,0.6521529717074042,0.6025356621307119,0.4096025693069569,0.39579047551728064,0.6595751781451966,0.31063587822657535,0.22027909402610638,0.23590669310313986,0.021586956301218013,0.21638345844045923,-0.5517097165841468,-0.7560760412589127,-0.5740903479022761,-0.7810299475760527,0.6655789013133686
low_birthweight_pct,-0.01706846088491885,0.2810282353796042,0.47763260188760154,-0.40676466320105736,-0.37374086279688823,-0.3956908550409233,-0.3797781675520267,-0.4023841787908585,0.4077165366465481,1.0,0.5325425953528062,-0.09385386202689729,-0.2791585951753513,-0.49361962636401013,-0.014198971877701506,0.22596568561078237,0.23113863156064304,0.3904844941895754,0.33663773448886075,0.2607782309701933,0.3117077509414844,0.4483588921944762,0.6944239175610396,0.29309618294809303,0.31278137446723336,0.3529055008222353,0.24029243259868716,0.25888304920960786,-0.06188713510219754,0.06111127972112653,-0.39778538106559996,-0.4914339526329641,-0.4713227413018061,-0.510886842613291,0.21878695003627452
