variable,missing_fraction,n_observed,imputation_model,cv_r2_mean,cv_r2_std,r2_weight_used,note
gdp_constant_2015_usd,0.03205128205128205,1057,XGBoost,0.9853370693173057,0.008285632111993936,0.9853370693173057,ok
human_development_index,0.054945054945054944,1032,XGBoost,0.9791354813689551,0.0031591714315334146,0.9791354813689551,ok
vaccination_diphtheria_tetanus_pertussis_dtp3,0.010073260073260074,1081,XGBoost,0.9756340791719174,0.0019665974767655737,0.9756340791719174,ok
anemia_prevalence_under5_pct,0.047619047619047616,1040,XGBoost,0.9719674706704209,0.0022756504818496432,0.9719674706704209,ok
gdp_per_capita_ppp_constant_2021_intl_usd,0.05036630036630037,1037,XGBoost,0.9665994867765475,0.005101183198517243,0.9665994867765475,ok
female_tertiary_gross_enrol,0.4816849816849817,566,XGBoost,0.9654433733468526,0.013094077404428032,0.9654433733468526,ok
female_secondary_gross_enrol,0.4532967032967033,597,XGBoost,0.9614325322133895,0.012478420286151022,0.9614325322133895,ok
vaccination_polio_pol3,0.010073260073260074,1081,XGBoost,0.9591153865628439,0.008890090229787968,0.9591153865628439,ok
low_birthweight_pct,0.3076923076923077,756,XGBoost,0.9476414560585461,0.010838666468432375,0.9476414560585461,ok
vaccination_measles_first_dose_mcv1,0.010073260073260074,1081,XGBoost,0.9356754945115175,0.012291024877882358,0.9356754945115175,ok
female_primary_completion_rate,0.37454212454212454,683,XGBoost,0.9232822538841916,0.011596976166967393,0.9232822538841916,ok
vaccination_h_influenzae_type_b_hib3,0.36538461538461536,693,XGBoost,0.8730895268394425,0.060703015298000616,0.8730895268394425,ok
female_primary_gross_enrol,0.23992673992673993,830,XGBoost,0.8677023979632811,0.019236476904167688,0.8677023979632811,ok
vaccination_hepatitis_b_hepb3,0.21336996336996336,859,XGBoost,0.8418355102053541,0.037796335592918874,0.8418355102053541,ok
